graph,fastmap_dims,query_idx,source,target,fastmap_cost,dijkstra_cost,cost_diff,cost_ratio,is_violation,fastmap_expansions,dijkstra_expansions
NY,8,61,109556,2693,856900.0,705970.0,150930.0,1.2137909542898424,True,3571,235211
NY,8,62,243307,200235,444227.0,403133.0,41094.0,1.1019365817236495,True,2454,72289
NY,8,63,25939,152906,623103.0,521280.0,101823.0,1.1953326427255986,True,1229,212684
NY,8,64,18047,75766,792382.0,671560.0,120822.0,1.1799124426707963,True,3270,246198
NY,8,65,44262,161152,947587.0,737182.0,210405.0,1.2854179836186994,True,4498,246527
NY,8,66,128376,137848,605668.0,511134.0,94534.0,1.1849495435639186,True,2204,153064
NY,8,67,92787,127948,306936.0,248456.0,58480.0,1.235373667772161,True,343,42808
NY,8,68,55016,21959,269985.0,231566.0,38419.0,1.16590950312222,True,449,71325
NY,8,69,136602,225928,706793.0,536814.0,169979.0,1.3166441262709243,True,6658,211094
NY,8,70,228576,13545,308007.0,266008.0,41999.0,1.1578862289855945,True,887,38208
NY,8,71,165838,61087,968357.0,750781.0,217576.0,1.289799555396314,True,5255,226464
NY,8,72,68840,118451,271432.0,203532.0,67900.0,1.333608474343101,True,541,36809
NY,8,73,39353,193075,591861.0,519865.0,71996.0,1.1384898002366,True,1931,184494
NY,8,74,214283,65318,861617.0,718328.0,143289.0,1.1994757269659542,True,3928,227242
NY,8,75,241025,67172,1171344.0,988366.0,182978.0,1.1851318236361834,True,9595,230072
NY,8,76,216688,256951,775090.0,602037.0,173053.0,1.2874457882156745,True,19072,220292
NY,8,77,93264,246458,760584.0,597697.0,162887.0,1.27252437271728,True,9223,168874
NY,8,78,225281,112859,399684.0,319920.0,79764.0,1.249324831207802,True,551,44441
NY,8,79,257426,177789,615092.0,496228.0,118864.0,1.239535052435574,True,5902,149150
NY,8,80,218164,125657,304871.0,261602.0,43269.0,1.1654001116199417,True,1864,48555
NY,8,81,235167,157381,995784.0,832298.0,163486.0,1.1964272412044725,True,2607,232400
NY,8,82,194806,70467,545057.0,390877.0,154180.0,1.3944463347805065,True,6649,161290
NY,8,83,183734,98506,898514.0,735227.0,163287.0,1.2220905924292769,True,11077,212661
NY,8,84,109751,168229,683414.0,608567.0,74847.0,1.1229889231588306,True,3293,211939
NY,8,85,106081,89045,997410.0,866216.0,131194.0,1.1514564496615163,True,3165,247695
NY,8,86,34698,110078,269906.0,223861.0,46045.0,1.2056856710190698,True,410,36071
NY,8,87,22671,86202,958009.0,764474.0,193535.0,1.2531609969730821,True,4690,257715
NY,8,88,51663,15708,266479.0,199034.0,67445.0,1.3388617020207603,True,1058,47834
NY,8,89,133883,112547,449622.0,343251.0,106371.0,1.3098927606911561,True,3197,111209
NY,8,90,34754,226814,309152.0,243971.0,65181.0,1.267166999356481,True,642,49224
NY,8,91,237714,142483,703505.0,576185.0,127320.0,1.2209706951760286,True,5850,117197
NY,8,92,133983,214835,194754.0,179489.0,15265.0,1.0850469945233412,True,3330,28840
NY,8,93,84896,71295,244946.0,233806.0,11140.0,1.0476463392727304,True,603,23442
NY,8,94,219686,132874,453699.0,428876.0,24823.0,1.057879200514834,True,2733,135851
NY,8,95,8155,47254,472453.0,420330.0,52123.0,1.124004948492851,True,1168,112263
NY,8,96,85981,30306,1081928.0,908983.0,172945.0,1.1902620841093838,True,2202,190789
NY,8,97,147718,120975,374455.0,288364.0,86091.0,1.2985497496220055,True,2261,61038
NY,8,98,107512,147443,560723.0,484252.0,76471.0,1.1579157133062952,True,13352,154670
NY,8,99,133121,162688,316949.0,274514.0,42435.0,1.154582279956578,True,314,76380
NY,16,0,121958,146867,656905.0,543151.0,113754.0,1.2094334724597764,True,2785,144772
NY,16,1,131932,259178,1004592.0,893194.0,111398.0,1.1247187061265527,True,28900,259938
NY,16,2,119879,110268,501201.0,374163.0,127038.0,1.3395258216338868,True,1656,76138
NY,16,3,207892,54886,357414.0,254214.0,103200.0,1.405957185678208,True,1467,68062
NY,16,4,137337,87498,925341.0,793785.0,131556.0,1.1657325346283944,True,8181,247332
NY,16,5,175203,191335,1413951.0,1174219.0,239732.0,1.2041629372374318,True,45279,263960
NY,16,6,41090,64820,513671.0,414851.0,98820.0,1.2382060064938978,True,1221,160171
NY,16,7,262913,194027,1051511.0,895604.0,155907.0,1.1740802854833163,True,2288,187230
NY,16,8,252709,199041,269805.0,253960.0,15845.0,1.062391715230745,True,1492,35584
NY,16,9,103355,235796,788563.0,636516.0,152047.0,1.2388738067856897,True,4143,224515
NY,16,10,214176,184779,49063.0,44190.0,4873.0,1.1102738176057931,True,53,3410
NY,16,11,258795,156730,942113.0,849262.0,92851.0,1.1093313959649673,True,1781,183469
NY,16,12,149503,130523,468315.0,318884.0,149431.0,1.4686061389094467,True,5882,68724
NY,16,13,2747,123855,1084604.0,881317.0,203287.0,1.2306627467755642,True,5831,212100
NY,16,14,65725,129981,565185.0,471140.0,94045.0,1.1996115804219551,True,1048,55076
NY,16,15,84654,67435,540471.0,489151.0,51320.0,1.1049164777338696,True,686,28229
NY,16,16,31551,3890,892939.0,676902.0,216037.0,1.3191555055236948,True,2141,216468
NY,16,17,41606,256840,675585.0,539876.0,135709.0,1.2513706851202868,True,6250,213225
NY,16,18,141699,239931,499602.0,463449.0,36153.0,1.0780085834687312,True,6772,187839
NY,16,19,239629,205041,783342.0,712423.0,70919.0,1.099546196571419,True,4038,196364
NY,16,20,174073,207624,289279.0,247165.0,42114.0,1.1703882022130965,True,382,47915
NY,16,21,68148,252801,784297.0,688818.0,95479.0,1.1386128120925991,True,13326,200022
NY,16,22,124243,251995,742948.0,657682.0,85266.0,1.1296462424089453,True,10046,189515
NY,16,23,154555,48555,623851.0,519504.0,104347.0,1.2008588961778928,True,3139,107522
NY,16,24,256508,106530,813999.0,649853.0,164146.0,1.2525894317637989,True,5018,197003
NY,16,25,80077,200551,888792.0,792671.0,96121.0,1.1212621629906985,True,6887,155488
NY,16,26,208261,240181,559668.0,477010.0,82658.0,1.1732835789606089,True,9717,156741
NY,16,27,171829,202283,345478.0,290640.0,54838.0,1.188680154142582,True,731,47208
NY,16,28,196769,37065,419568.0,318721.0,100847.0,1.3164115323433347,True,8145,110966
NY,16,29,223165,99299,510761.0,396165.0,114596.0,1.2892633120038368,True,1185,122548
