method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,median_expansions,expansion_reduction_pct,preprocess_sec,seed,admissibility_violations,violation_pct
AAC,64,64,64,256,6318.24,4095.0,94.96118151737801,105.59926769201411,789,,
AAC,128,8,8,32,20075.66,9408.5,83.98959098438249,105.43216938199475,789,,
AAC,128,16,16,64,15275.02,7206.5,87.81811816290285,82.23799514002167,789,,
AAC,128,32,32,128,11122.12,5315.5,91.13007042753365,95.61649632797344,789,,
AAC,128,64,64,256,7728.48,4222.5,93.83651018850591,125.50759039900731,789,,
ALT,0,0,4,32,19855.38,10145.5,84.1652650542741,1.2290064350236207,789,,
ALT,0,0,8,64,11298.5,5332.5,90.98940676107513,2.4298890880309045,789,,
ALT,0,0,16,128,8151.82,4267.5,93.49889505890759,3.5389812599751167,789,,
ALT,0,0,32,256,6272.28,3495.5,94.99783477801091,4.73082610196434,789,,
FastMap,0,0,8,32,91780.16,69153.0,26.80500162291961,0.6858147620223463,789,50,100.0
FastMap,0,0,16,64,91768.7,69153.0,26.814141012972993,1.253329664003104,789,50,100.0
FastMap,0,0,32,128,91768.7,69153.0,26.814141012972993,4.960185564996209,789,50,100.0
FastMap,0,0,64,256,91768.7,69153.0,26.814141012972993,7.498491132981144,789,50,100.0
AAC,32,8,8,32,26417.08,13782.5,78.93228637074502,70.92372373800026,1024,,
AAC,32,16,16,64,14649.78,10317.0,88.31674924815358,94.1725569780101,1024,,
AAC,32,32,32,128,9450.1,4141.0,92.46351222134231,86.36333238595398,1024,,
AAC,64,8,8,32,27513.72,17880.5,78.05771213792345,94.97124061599607,1024,,
AAC,64,16,16,64,17043.8,9765.0,86.40750993091227,99.80787158198655,1024,,
AAC,64,32,32,128,9616.26,5696.5,92.33099904060329,89.55785352701787,1024,,
AAC,64,64,64,256,6055.6,4053.0,95.17063783532032,79.2453857419896,1024,,
AAC,128,8,8,32,30642.9,24792.0,75.56218015125451,62.433615214016754,1024,,
AAC,128,16,16,64,14312.06,10528.5,88.58608212850493,64.57439924601931,1024,,
AAC,128,32,32,128,10247.34,5576.0,91.82771053494142,65.21381740795914,1024,,
AAC,128,64,64,256,6771.8,3516.0,94.59946583215901,84.32805719802855,1024,,
ALT,0,0,4,32,19855.38,10145.5,84.1652650542741,0.7702466959599406,1024,,
ALT,0,0,8,64,11298.5,5332.5,90.98940676107513,1.3265330340364017,1024,,
ALT,0,0,16,128,8151.82,4267.5,93.49889505890759,2.1260243820142932,1024,,
ALT,0,0,32,256,6272.28,3495.5,94.99783477801091,3.7488975229789503,1024,,
FastMap,0,0,8,32,91780.16,69153.0,26.80500162291961,0.5696116290055215,1024,50,100.0
FastMap,0,0,16,64,91768.7,69153.0,26.814141012972993,1.5364411909831688,1024,50,100.0
FastMap,0,0,32,128,91768.7,69153.0,26.814141012972993,2.9395687100477517,1024,50,100.0
FastMap,0,0,64,256,91768.7,69153.0,26.814141012972993,7.39230199099984,1024,50,100.0
