method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,median_expansions,expansion_reduction_pct,preprocess_sec,seed,admissibility_violations,violation_pct
FastMap,0,0,8,32,407518.42,323105.0,22.33875815625338,2.2635759210097603,789,50,100.0
FastMap,0,0,16,64,407518.42,323105.0,22.33875815625338,5.188808989012614,789,50,100.0
FastMap,0,0,32,128,407518.42,323105.0,22.33875815625338,11.848890469991602,789,50,100.0
FastMap,0,0,64,256,407518.42,323105.0,22.33875815625338,30.344286262989044,789,50,100.0
AAC,32,8,8,32,145617.52,112773.5,72.24950607777039,36.12077989795944,1024,,
AAC,32,16,16,64,73142.06,49217.5,86.06123568448801,54.19633496395545,1024,,
AAC,32,32,32,128,34551.62,24101.0,93.41545906829627,32.708444661984686,1024,,
AAC,64,8,8,32,127263.68,82032.5,75.74721792844313,68.27916749700671,1024,,
AAC,64,16,16,64,74038.0,47185.5,85.89049539496322,60.311636688013095,1024,,
AAC,64,32,32,128,54375.88,34233.0,89.63752763090673,55.06344059901312,1024,,
AAC,64,64,64,256,28050.04,19710.5,94.65447245263965,49.91266516700853,1024,,
AAC,128,8,8,32,146958.8,110523.0,71.99389684552962,89.31633278197842,1024,,
AAC,128,16,16,64,85208.66,45870.0,83.76169020423279,74.2753780480125,1024,,
AAC,128,32,32,128,54602.76,32065.5,89.59429085513226,84.02010718599195,1024,,
AAC,128,64,64,256,33221.82,22446.0,93.66888054407598,79.50345570303034,1024,,
ALT,0,0,4,32,80399.52,61838.0,84.67817340172957,3.0039380689850077,1024,,
ALT,0,0,8,64,64543.48,53174.0,87.69987670810801,4.802998975967057,1024,,
ALT,0,0,16,128,37919.9,27847.0,92.77356217520011,8.3304386039963,1024,,
ALT,0,0,32,256,28147.34,20378.5,94.6359298826341,15.372038490022533,1024,,
FastMap,0,0,8,32,407518.42,323105.0,22.33875815625338,2.288950433023274,1024,50,100.0
FastMap,0,0,16,64,407518.42,323105.0,22.33875815625338,5.172702491981909,1024,50,100.0
FastMap,0,0,32,128,407518.42,323105.0,22.33875815625338,11.754923075030092,1024,50,100.0
FastMap,0,0,64,256,407518.42,323105.0,22.33875815625338,30.34844912099652,1024,50,100.0
