graph,method,anchor_selection_sec,sssp_sec,training_sec,preprocess_total_sec
NY,aac,1.2549588910769671,6.057441073935479,34.68529578007292,41.997695745085366
NY,alt,0.16371426300611347,1.2013397309929132,0.0,1.3650539939990267
BAY,aac,1.4586761459941044,6.8149058379931375,32.08449089899659,40.35807288298383
BAY,alt,0.18443460704293102,1.3965941609349102,0.0,1.5810287679778412
COL,aac,2.0608623430598527,9.442264041979797,2.1201792110223323,13.623305596061982
COL,alt,0.2605913579463959,1.8053628110792488,0.0,2.0659541690256447
FLA,aac,5.513114647008479,25.06932589598,21.72105673898477,52.30349728197325
FLA,alt,0.6924736730288714,4.333043165970594,0.0,5.025516838999465
