graph,method,p50_ms,p95_ms,median_ms,mean_ms,min_ms,max_ms,num_queries,anchor_selection_sec,sssp_sec,training_sec,preprocess_total_sec
NY,aac,67.0144705218263,166.4679239504039,67.0144705218263,84.67009467538446,27.845095959492028,219.69944005832076,100,1.2549588910769671,6.057441073935479,34.68529578007292,41.997695745085366
NY,alt,88.10432895552367,290.89558121049765,88.10432895552367,133.34474082803354,41.01902688853443,747.1010369481519,100,0.16371426300611347,1.2013397309929132,0.0,1.3650539939990267
BAY,aac,105.56510498281568,571.410931594437,105.56510498281568,176.00255046854727,44.802903081290424,710.9985660063103,100,1.4586761459941044,6.8149058379931375,32.08449089899659,40.35807288298383
BAY,alt,136.03624748066068,492.0090556959621,136.03624748066068,179.03127123601735,47.61858703568578,1121.7227799352258,100,0.18443460704293102,1.3965941609349102,0.0,1.5810287679778412
COL,aac,132.43687752401456,549.8682179022579,132.43687752401456,217.66670208773576,60.98055001348257,959.6426209900528,100,2.0608623430598527,9.442264041979797,2.1201792110223323,13.623305596061982
COL,alt,200.04640653496608,814.7744185058399,200.04640653496608,290.0618224486243,63.79024393390864,1322.4751439411193,100,0.2605913579463959,1.8053628110792488,0.0,2.0659541690256447
FLA,aac,377.67137197079137,1210.5189069930927,377.67137197079137,496.4731489890255,143.39112001471221,1406.7553400527686,100,5.513114647008479,25.06932589598,21.72105673898477,52.30349728197325
FLA,alt,468.4352405020036,1362.0794636837672,468.4352405020036,626.3837945857085,158.86762703303248,1858.4637079620734,100,0.6924736730288714,4.333043165970594,0.0,5.025516838999465
