graph,K,covering_radius,is_directed,covering_radius_bwd
modena,4,55119.35790457271,True,54462.47020339039
modena,8,35723.534129420936,True,35769.177715332546
modena,16,26386.098457857952,True,27523.905856687325
modena,32,19556.075266617547,True,21252.102762682895
modena,64,13113.20094314573,True,19248.598318284152
NY,4,765783.0,True,765783.0
NY,8,541677.0,True,541677.0
NY,16,352682.0,True,352682.0
NY,32,225591.0,True,225591.0
NY,64,164385.0,True,164385.0
