graph,K,R,seed,best_seed_vertex,val_red_pct,test_red_pct
manhattan,8,10,42,1975,90.18983944589726,89.36295926434485
manhattan,8,10,123,255,90.27572021762188,89.44617817168061
manhattan,8,10,456,4499,90.471528377154,88.24449714975242
manhattan,8,10,789,3883,90.43073501058481,89.2056755294803
manhattan,8,10,1024,4041,90.29933742984615,89.56434902009737
