graph,K,R,seed,best_seed_vertex,val_red_pct,test_red_pct
modena,8,10,42,2824,90.7154240546088,89.2799928680068
modena,8,10,123,17714,90.85309964427537,88.97762607283818
modena,8,10,456,3717,90.59129032622093,89.41581141281003
modena,8,10,789,18874,91.28969928290829,89.13600224765847
modena,8,10,1024,18635,91.30449502023129,89.13134213846332
