graph,seed,method,K0,m,compression_ratio,bytes_per_vertex,reduction_pct,mean_exp,nominal_fwd,nominal_bwd,unique_fwd,unique_bwd,duplicates_fwd,duplicates_bwd,effective_unique_total,effective_unique_ratio
manhattan,42,ALT,64,16,0.25,64,90.43588785688829,222.73,8,8,8,8,0,0,16,1.0
manhattan,42,AAC,64,32,0.5,128,92.25226617886389,180.43,16,16,16,16,0,0,32,1.0
manhattan,42,ALT,64,32,0.5,128,92.13460952160116,183.17,16,16,16,16,0,0,32,1.0
manhattan,42,AAC,64,64,1.0,256,93.4326973862187,152.94,32,32,32,32,0,0,64,1.0
manhattan,42,ALT,64,64,1.0,256,93.45373817529125,152.45,32,32,32,32,0,0,64,1.0
manhattan,123,ALT-Full,64,128,1.0,512,95.02406808627583,115.88,64,64,64,64,0,0,128,1.0
manhattan,123,AAC,64,4,0.0625,16,63.7080740807537,845.17,2,2,2,2,0,0,4,1.0
manhattan,123,ALT,64,4,0.0625,16,72.82603561475602,632.83,2,2,2,2,0,0,4,1.0
manhattan,123,AAC,64,8,0.125,32,60.27413142334497,925.14,4,4,4,4,0,0,8,1.0
manhattan,123,ALT,64,8,0.125,32,83.85656193506554,375.95,4,4,4,4,0,0,8,1.0
manhattan,123,AAC,64,16,0.25,64,88.1823764068344,275.21,8,8,8,8,0,0,16,1.0
manhattan,123,ALT,64,16,0.25,64,90.43588785688829,222.73,8,8,8,8,0,0,16,1.0
manhattan,123,AAC,64,32,0.5,128,92.3621935666714,177.87,16,16,16,16,0,0,32,1.0
manhattan,123,ALT,64,32,0.5,128,92.13460952160116,183.17,16,16,16,16,0,0,32,1.0
manhattan,123,AAC,64,64,1.0,256,93.93724692010082,141.19,32,32,32,32,0,0,64,1.0
manhattan,123,ALT,64,64,1.0,256,93.45373817529125,152.45,32,32,32,32,0,0,64,1.0
manhattan,456,ALT-Full,64,128,1.0,512,95.02406808627583,115.88,64,64,64,64,0,0,128,1.0
manhattan,456,AAC,64,4,0.0625,16,67.99438339752922,745.35,2,2,2,2,0,0,4,1.0
manhattan,456,ALT,64,4,0.0625,16,72.82603561475602,632.83,2,2,2,2,0,0,4,1.0
manhattan,456,AAC,64,8,0.125,32,75.32387786036645,574.66,4,4,4,4,0,0,8,1.0
manhattan,456,ALT,64,8,0.125,32,83.85656193506554,375.95,4,4,4,4,0,0,8,1.0
manhattan,456,AAC,64,16,0.25,64,89.2451509569265,250.46,8,8,8,8,0,0,16,1.0
manhattan,456,ALT,64,16,0.25,64,90.43588785688829,222.73,8,8,8,8,0,0,16,1.0
manhattan,456,AAC,64,32,0.5,128,91.87868482186181,189.13,16,16,16,16,0,0,32,1.0
manhattan,456,ALT,64,32,0.5,128,92.13460952160116,183.17,16,16,16,16,0,0,32,1.0
manhattan,456,AAC,64,64,1.0,256,93.6929161245443,146.88,32,32,32,32,0,0,64,1.0
manhattan,456,ALT,64,64,1.0,256,93.45373817529125,152.45,32,32,32,32,0,0,64,1.0
manhattan,789,ALT-Full,64,128,1.0,512,95.02406808627583,115.88,64,64,64,64,0,0,128,1.0
manhattan,789,AAC,64,4,0.0625,16,74.81159905702913,586.59,2,2,2,2,0,0,4,1.0
manhattan,789,ALT,64,4,0.0625,16,72.82603561475602,632.83,2,2,2,2,0,0,4,1.0
manhattan,789,AAC,64,8,0.125,32,82.04877169026241,418.05,4,4,4,4,0,0,8,1.0
manhattan,789,ALT,64,8,0.125,32,83.85656193506554,375.95,4,4,4,4,0,0,8,1.0
manhattan,789,AAC,64,16,0.25,64,86.43642031767298,315.87,8,8,8,8,0,0,16,1.0
manhattan,789,ALT,64,16,0.25,64,90.43588785688829,222.73,8,8,8,8,0,0,16,1.0
manhattan,789,AAC,64,32,0.5,128,92.03756424955235,185.43,16,16,16,16,0,0,32,1.0
manhattan,789,ALT,64,32,0.5,128,92.13460952160116,183.17,16,16,16,16,0,0,32,1.0
manhattan,789,AAC,64,64,1.0,256,93.79597305061384,144.48,32,32,32,32,0,0,64,1.0
manhattan,789,ALT,64,64,1.0,256,93.45373817529125,152.45,32,32,32,32,0,0,64,1.0
manhattan,1024,ALT-Full,64,128,1.0,512,95.02406808627583,115.88,64,64,64,64,0,0,128,1.0
