graph,graph_kind,seed,query_mode,method,K0,m,alt_K,bytes_per_vertex,num_queries,mean_expansions,median_expansions,reduction_pct,all_optimal,preprocess_sec
manhattan,osmnx,42,uniform,ALT,0,0,8,64,100,222.73,148.0,90.43588785688829,True,0.4292613930301741
manhattan,osmnx,42,uniform,Hybrid,64,16,8,128,100,190.88,116.5,91.80353914660277,True,307.1297980680247
manhattan,osmnx,42,hotspot,AAC,64,16,8,64,100,198.98,109.0,90.34522914190057,True,306.7005366749945
manhattan,osmnx,42,hotspot,ALT,0,0,8,64,100,154.19,90.0,92.5184987505762,True,0.4292613930301741
manhattan,osmnx,42,hotspot,Hybrid,64,16,8,128,100,148.92,88.0,92.77420607001625,True,307.1297980680247
manhattan,osmnx,42,powerlaw,AAC,64,16,8,64,100,268.23,159.5,87.10017168991935,True,306.7005366749945
manhattan,osmnx,42,powerlaw,ALT,0,0,8,64,100,181.27,111.5,91.2822880447067,True,0.4292613930301741
manhattan,osmnx,42,powerlaw,Hybrid,64,16,8,128,100,162.59,106.0,92.1806543453901,True,307.1297980680247
manhattan,osmnx,123,uniform,AAC,64,16,8,64,100,271.85,177.5,88.18074311104928,True,197.11133382399566
manhattan,osmnx,123,uniform,ALT,0,0,8,64,100,236.07,178.0,89.73635470379034,True,0.25469570205314085
manhattan,osmnx,123,uniform,Hybrid,64,16,8,128,100,184.36,125.0,91.98455692460197,True,197.3660295260488
manhattan,osmnx,123,hotspot,AAC,64,16,8,64,100,333.3,144.0,85.94862584896354,True,197.11133382399566
manhattan,osmnx,123,hotspot,ALT,0,0,8,64,100,259.85,179.0,89.04515579613914,True,0.25469570205314085
manhattan,osmnx,123,hotspot,Hybrid,64,16,8,128,100,220.25,125.0,90.71462599230189,True,197.3660295260488
manhattan,osmnx,123,powerlaw,AAC,64,16,8,64,100,216.07,136.0,90.92085635649305,True,197.11133382399566
manhattan,osmnx,123,powerlaw,ALT,0,0,8,64,100,213.68,143.5,91.02128285396138,True,0.25469570205314085
manhattan,osmnx,123,powerlaw,Hybrid,64,16,8,128,100,165.62,116.0,93.04073786162994,True,197.3660295260488
manhattan,osmnx,456,uniform,AAC,64,16,8,64,100,307.09,206.0,86.73242345296576,True,180.59243154496653
manhattan,osmnx,456,uniform,ALT,0,0,8,64,100,230.73,142.5,90.03149585887782,True,0.251172487041913
manhattan,osmnx,456,uniform,Hybrid,64,16,8,128,100,209.57,142.5,90.94569664605827,True,180.84360403200844
manhattan,osmnx,456,hotspot,AAC,64,16,8,64,100,291.55,189.5,87.8635623805817,True,180.59243154496653
manhattan,osmnx,456,hotspot,ALT,0,0,8,64,100,260.89,168.5,89.13985522027083,True,0.251172487041913
manhattan,osmnx,456,hotspot,Hybrid,64,16,8,128,100,205.69,155.0,91.43768185924147,True,180.84360403200844
manhattan,osmnx,456,powerlaw,AAC,64,16,8,64,100,372.29,245.5,84.63744553017298,True,180.59243154496653
manhattan,osmnx,456,powerlaw,ALT,0,0,8,64,100,253.65,143.0,89.53312755843127,True,0.251172487041913
manhattan,osmnx,456,powerlaw,Hybrid,64,16,8,128,100,224.94,142.0,90.71784629605176,True,180.84360403200844
manhattan,osmnx,789,uniform,AAC,64,16,8,64,100,307.27,154.0,86.26983985129048,True,178.59294780698838
manhattan,osmnx,789,uniform,ALT,0,0,8,64,100,207.28,125.5,90.73782798312719,True,0.2842812659800984
manhattan,osmnx,789,uniform,Hybrid,64,16,8,128,100,163.52,111.0,92.69321512833345,True,178.87722907296848
manhattan,osmnx,789,hotspot,AAC,64,16,8,64,100,331.79,193.0,86.8849413401638,True,178.59294780698838
manhattan,osmnx,789,hotspot,ALT,0,0,8,64,100,259.93,177.0,89.72543718179806,True,0.2842812659800984
manhattan,osmnx,789,hotspot,Hybrid,64,16,8,128,100,170.23,115.0,93.2711159599026,True,178.87722907296848
manhattan,osmnx,789,powerlaw,AAC,64,16,8,64,100,265.41,152.0,87.51311449957893,True,178.59294780698838
manhattan,osmnx,789,powerlaw,ALT,0,0,8,64,100,195.92,124.5,90.78244750671604,True,0.2842812659800984
