graph,budget,K0,m,seed,epochs,mean_expansions,expansion_reduction_pct,dijkstra_mean,alt_ref_pct,forced_first_m_pct
ba,32,32,8,42,0,530.75,88.8583100318244,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,42,50,512.9,89.23302348624162,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,42,200,512.9,89.23302348624162,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,42,500,531.97,88.83269936435163,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,42,1000,547.41,88.50857747436834,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,43,0,566.62,88.1053144234241,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,43,50,566.62,88.1053144234241,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,43,200,566.62,88.1053144234241,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,43,500,566.62,88.1053144234241,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,43,1000,566.62,88.1053144234241,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,44,0,534.39,88.78189787641384,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,44,50,534.39,88.78189787641384,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,44,200,534.39,88.78189787641384,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,44,500,551.38,88.4252378433299,4763.64,89.90477869864222,89.90477869864222
ba,32,32,8,44,1000,551.38,88.4252378433299,4763.64,89.90477869864222,89.90477869864222
