graph,budget,K0,m,seed,epochs,mean_expansions,expansion_reduction_pct,dijkstra_mean,alt_ref_pct,forced_first_m_pct
sbm,32,32,8,42,0,573.44,89.24127579737335,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,42,50,597.78,88.78461538461538,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,42,200,573.44,89.24127579737335,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,42,500,612.7,88.50469043151969,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,42,1000,589.04,88.94859287054409,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,43,0,569.83,89.30900562851782,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,43,50,569.83,89.30900562851782,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,43,200,518.99,90.26285178236397,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,43,500,525.03,90.14953095684804,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,43,1000,518.99,90.26285178236397,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,44,0,627.44,88.22814258911819,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,44,50,627.44,88.22814258911819,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,44,200,592.0,88.89305816135085,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,44,500,592.0,88.89305816135085,5330.0,89.94971857410881,89.94971857410881
sbm,32,32,8,44,1000,567.35,89.35553470919324,5330.0,89.94971857410881,89.94971857410881
