graph,method,K0,m,num_landmarks_or_dims,bytes_per_vertex,mean_expansions,expansion_reduction_pct,preprocess_sec,mean_query_latency_ms,peak_memory_mb,admissibility_violations,num_nodes,num_edges,seed
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.6666635459987447,20.742496406892315,819.703125,0,29878,67695,42
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.2943630269728601,11.714588106842712,826.640625,0,29878,67695,42
modena,ALT,0,0,16,128,1141.0,92.84663716714292,0.3450355899985879,10.84786698105745,837.93359375,0,29878,67695,42
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.4875045899534598,9.365068423212506,852.72265625,0,29878,67695,42
modena,AAC,16,8,8,32,2587.27,83.77942063403496,27.08009253500495,22.293395399465226,949.6953125,0,29878,67695,42
modena,AAC,32,8,8,32,2872.65,81.99026490639189,28.906060444016475,24.54074964742176,984.0078125,0,29878,67695,42
modena,AAC,32,16,16,64,2235.97,85.98185390588657,34.3733881849912,20.702430499950424,995.453125,0,29878,67695,42
modena,AAC,64,16,16,64,2226.5,86.04122493658521,36.21119532198645,20.338348780642264,1022.09765625,0,29878,67695,42
modena,AAC,64,32,32,128,1460.95,90.8407489652388,31.87497117498424,14.283039780566469,1036.34765625,0,29878,67695,42
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.2782401909935288,21.75993761688005,1036.34765625,0,29878,67695,123
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.2825597859919071,13.187046941602604,1036.34765625,0,29878,67695,123
modena,ALT,0,0,16,128,1141.0,92.84663716714292,0.331432887003757,11.272386976052076,1036.34765625,0,29878,67695,123
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.4305290769552812,8.68419847858604,1036.34765625,0,29878,67695,123
modena,AAC,16,8,8,32,3606.38,77.39023255638993,18.91464580304455,30.58440624794457,1036.34765625,0,29878,67695,123
modena,AAC,32,8,8,32,2439.88,84.70346458489807,24.168886219966225,22.00496739766095,1036.34765625,0,29878,67695,123
modena,AAC,32,16,16,64,1835.67,88.49148680859707,33.87710173300002,17.399459558655508,1036.34765625,0,29878,67695,123
modena,AAC,64,16,16,64,2233.93,85.99464344153866,27.43032518698601,20.482389189419337,1044.47265625,0,29878,67695,123
modena,AAC,64,32,32,128,1273.78,92.01418886131756,25.300767351000104,13.270411186967976,1058.91015625,0,29878,67695,123
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.308795232034754,21.835355371586047,1058.91015625,0,29878,67695,456
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.3270477569894865,13.026055340305902,1058.91015625,0,29878,67695,456
modena,ALT,0,0,16,128,1141.0,92.84663716714292,0.3488084550481289,9.992439149646088,1058.91015625,0,29878,67695,456
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.4318027390399948,10.111692407517694,1058.91015625,0,29878,67695,456
modena,AAC,16,8,8,32,3548.2,77.75498509768322,23.295767523988616,29.60054601135198,1058.91015625,0,29878,67695,456
modena,AAC,32,8,8,32,4438.41,72.17392013060373,28.115768947987817,36.36029487650376,1058.91015625,0,29878,67695,456
modena,AAC,32,16,16,64,2114.91,86.74082507551468,33.91736605903134,19.424158619949598,1058.91015625,0,29878,67695,456
modena,AAC,64,16,16,64,2868.73,82.01484087686059,28.04210934700677,25.35543028381653,1058.91015625,0,29878,67695,456
modena,AAC,64,32,32,128,1283.4,91.95387742358568,13.30961988499621,13.199706058949232,1058.91015625,0,29878,67695,456
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.2585747980047017,22.01922201085836,1058.91015625,0,29878,67695,789
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.3016951340250671,13.116376858088188,1058.91015625,0,29878,67695,789
modena,ALT,0,0,16,128,1141.0,92.84663716714292,0.3446103489841334,11.113849999965169,1058.91015625,0,29878,67695,789
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.4648893480189144,9.860099030775018,1058.91015625,0,29878,67695,789
modena,AAC,16,8,8,32,2780.51,82.56792560001102,18.931677896995097,24.369118829490617,1058.91015625,0,29878,67695,789
modena,AAC,32,8,8,32,2978.37,81.32746602936326,31.466710567998238,25.353454253054224,1058.91015625,0,29878,67695,789
modena,AAC,32,16,16,64,1794.34,88.75060029315623,34.10340443300083,17.28165987879038,1058.91015625,0,29878,67695,789
modena,AAC,64,16,16,64,2203.96,86.18253676678032,18.56590651802253,19.59376943006646,1058.91015625,0,29878,67695,789
modena,AAC,64,32,32,128,1215.63,92.37875332120416,1.2098353389883414,12.281367474934086,1058.91015625,0,29878,67695,789
modena,ALT,0,0,4,32,2651.31,83.37792952464305,0.0640945199993439,21.66494856355712,1058.91015625,0,29878,67695,1024
modena,ALT,0,0,8,64,1403.96,91.19804094406835,0.0916311569744721,12.450268400716595,1058.91015625,0,29878,67695,1024
modena,ALT,0,0,16,128,1141.0,92.84663716714292,0.3382997940061614,10.680781953851692,1058.91015625,0,29878,67695,1024
modena,ALT,0,0,32,256,898.58,94.36646032046563,0.4562293140334077,9.120432731579058,1058.91015625,0,29878,67695,1024
modena,AAC,16,8,8,32,2889.99,81.88155385334916,6.95683092600666,24.578761459561065,1058.91015625,0,29878,67695,1024
modena,AAC,32,8,8,32,3122.11,80.42630531630904,0.6956840159837157,26.29435325798113,1058.91015625,0,29878,67695,1024
modena,AAC,32,16,16,64,1834.13,88.50114165413837,2.7784753469750285,16.64824088860769,1058.91015625,0,29878,67695,1024
modena,AAC,64,16,16,64,2533.37,84.11734022797974,2.334437710000202,22.17716198472772,1058.91015625,0,29878,67695,1024
modena,AAC,64,32,32,128,1200.12,92.47599140844136,2.7417364330030978,11.443386109312996,1059.97265625,0,29878,67695,1024
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.0068018520250916,3.1501433602534235,1060.5703125,0,4626,9897,42
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.028392061998602,2.1361882926430558,1060.5703125,0,4626,9897,42
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.0559389209956862,1.804531248053536,1060.5703125,0,4626,9897,42
manhattan,ALT,0,0,32,256,152.45,93.45373817529124,0.067889911995735,1.6196127189323306,1060.5703125,0,4626,9897,42
manhattan,AAC,16,8,8,32,404.74,82.62030822608972,0.2254548430209979,3.667843276052736,1060.5703125,0,4626,9897,42
manhattan,AAC,32,8,8,32,538.91,76.85899665494395,1.7776262349798344,4.630750452633947,1060.5703125,0,4626,9897,42
manhattan,AAC,32,16,16,64,297.09,87.24284076416711,2.393417631043121,2.8707406215835363,1060.5703125,0,4626,9897,42
manhattan,AAC,64,16,16,64,306.9,86.82159557885787,3.937613521004096,2.992043702979572,1060.5703125,0,4626,9897,42
manhattan,AAC,64,32,32,128,180.43,92.25226617886388,0.5835781299974769,1.9623678614152595,1060.5703125,0,4626,9897,42
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.0068151180166751,3.1473131524398923,1060.5703125,0,4626,9897,123
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.0128976519918069,2.1078218484763056,1060.5703125,0,4626,9897,123
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.0573414670070633,1.8633413210045544,1060.5703125,0,4626,9897,123
manhattan,ALT,0,0,32,256,152.45,93.45373817529124,0.0794603379908949,1.6920049604959786,1060.5703125,0,4626,9897,123
manhattan,AAC,16,8,8,32,472.12,79.72698502668744,0.4077529909554869,4.110498768859543,1060.5703125,0,4626,9897,123
manhattan,AAC,32,8,8,32,770.12,66.93075003971985,6.193968609964941,6.269428886007518,1060.5703125,0,4626,9897,123
manhattan,AAC,32,16,16,64,272.77,88.28715094833842,6.463196914992295,2.668855922529474,1060.5703125,0,4626,9897,123
manhattan,AAC,64,16,16,64,275.21,88.1823764068344,3.460373202979099,2.75364444765728,1060.5703125,0,4626,9897,123
manhattan,AAC,64,32,32,128,177.87,92.3621935666714,0.6732193549978547,1.9728694023797289,1060.5703125,0,4626,9897,123
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.0067044830066151,3.1540011905599385,1060.5703125,0,4626,9897,456
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.0117235300131142,2.1076981321675703,1060.5703125,0,4626,9897,456
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.0530002230079844,1.8542402290040627,1060.5703125,0,4626,9897,456
manhattan,ALT,0,0,32,256,152.45,93.45373817529124,0.0673416479839943,1.6673730761976913,1060.5703125,0,4626,9897,456
manhattan,AAC,16,8,8,32,439.94,81.1088066437365,1.6574247009702958,3.8628874404821545,1060.5703125,0,4626,9897,456
manhattan,AAC,32,8,8,32,413.93,82.22568608001511,0.780527833965607,3.7945683317957446,1060.5703125,0,4626,9897,456
manhattan,AAC,32,16,16,64,283.18,87.8401415315118,34.62219980801456,2.775734969764017,1060.5703125,0,4626,9897,456
manhattan,AAC,64,16,16,64,250.46,89.2451509569265,31.608848457050044,2.5698457116959617,1060.5703125,0,4626,9897,456
manhattan,AAC,64,32,32,128,189.13,91.8786848218618,22.679025434947107,2.088524094433524,1060.5703125,0,4626,9897,456
manhattan,ALT,0,0,4,32,375.95,83.85656193506554,0.041119500005152,3.1806386390235275,1060.5703125,0,4626,9897,789
manhattan,ALT,0,0,8,64,222.73,90.43588785688829,0.0457275049993768,2.171017128275708,1060.5703125,0,4626,9897,789
manhattan,ALT,0,0,16,128,183.17,92.13460952160116,0.0633028150186874,1.893196465098299,1060.5703125,0,4626,9897,789
manhattan,ALT,0,0,32,256,152.45,93.45373817529124,0.0722633430268615,1.6823240573285148,1060.5703125,0,4626,9897,789
manhattan,AAC,16,8,8,32,425.85,81.71383668053642,26.123818883032072,3.915316745988093,1060.5703125,0,4626,9897,789
manhattan,AAC,32,8,8,32,545.29,76.58503699314242,17.039688026008662,4.788957358105108,1060.5703125,0,4626,9897,789
