method,seed,path_match,jaccard,cost_regret,n_train,n_test
full_e2e,42,0.005,0.19916633440296933,0.17444949104345733,10000,1000
full_e2e,123,0.005,0.21472725074861204,0.12469288742094628,10000,1000
full_e2e,456,0.003,0.21549506818171954,0.1315908452231219,10000,1000
frozen_compressor,42,0.005,0.1988380998898876,0.17448134615647234,10000,1000
frozen_compressor,123,0.005,0.21468594020730153,0.12471998716818672,10000,1000
frozen_compressor,456,0.003,0.21546493268577627,0.131911589095205,10000,1000
frozen_encoder,42,0.0,0.053935031408275526,1.0116536837566814,10000,1000
frozen_encoder,123,0.0,0.053935031408275526,1.0116536837566814,10000,1000
frozen_encoder,456,0.0,0.053935031408275526,1.0116536837566814,10000,1000
