epoch,encoder_grad_norm,compressor_grad_norm,encoder_max_grad,compressor_max_grad,loss
0,3.8856708763849945,0.01518874429166317,3.1560821533203125,0.01518874429166317,37.43442578958228
1,3.6909167792709043,0.0007745588081888855,2.9866929054260254,0.0007745588081888855,33.41949527471767
2,4.141408627208548,0.0007452659774571657,3.028773784637451,0.0007452659774571657,34.5918755775613
3,4.856074678684975,0.0007383557967841625,3.0925400257110596,0.0007383557967841625,33.88114732120072
4,6.445873632779045,0.000728414102923125,3.2969815731048584,0.000728414102923125,34.52961857956852
5,8.409941332906214,0.0008147074840962887,4.707401275634766,0.0008147074840962887,34.63246067856132
6,11.058672529819633,0.0007237871177494526,6.793829917907715,0.0007237871177494526,33.91326342228756
7,15.32305625876808,0.0007388959056697786,9.912464141845703,0.0007388959056697786,33.1198856878133
8,19.995871035037148,0.0057461680844426155,13.678936958312988,0.0057461680844426155,35.110234634747634
9,21.213843702937307,0.025005534291267395,14.627950668334961,0.025005534291267395,28.85689299380604
10,42.62027520525294,0.04216841235756874,30.405920028686523,0.04216841235756874,27.649613584316356
11,74.09929771650529,0.1363637000322342,55.069950103759766,0.1363637000322342,21.47266767305605
12,66.746103129681,0.19525112211704254,49.68181610107422,0.19525112211704254,19.490363427465198
13,18.32515342823015,0.13766443729400635,14.078561782836914,0.13766443729400635,13.217618612187572
14,51.69588360445019,0.09249264001846313,34.871185302734375,0.09249264001846313,14.774398009404152
15,65.97856918270774,0.20952816307544708,46.29362869262695,0.20952816307544708,15.035369476184945
16,76.79199756553174,0.15986868739128113,55.033790588378906,0.15986868739128113,15.523768539072753
17,85.87218747773012,0.10008874535560608,62.88035202026367,0.10008874535560608,14.146323851503007
18,62.987405373570425,0.17030377686023712,44.312400817871094,0.17030377686023712,13.448998652384615
19,46.55571289194315,0.12884479761123657,30.626995086669922,0.12884479761123657,11.349078307166693
20,36.949698785838066,0.1224636435508728,24.562841415405273,0.1224636435508728,9.572203777699864
21,16.464249741753758,0.20021578669548035,13.059659957885742,0.20021578669548035,9.327757392311042
22,22.176248535486202,0.2275250405073166,15.142645835876465,0.2275250405073166,8.674279032789372
23,28.949445973872898,0.1831817924976349,20.511838912963867,0.1831817924976349,8.18216005666954
24,31.77588444640212,0.19194695353507996,23.866397857666016,0.19194695353507996,7.769406316945809
25,51.55475459061695,0.3802441954612732,38.52186584472656,0.3802441954612732,9.371074897537005
26,22.228342281003172,0.16281375288963318,16.64168357849121,0.16281375288963318,6.35124291632798
27,20.97058203513274,0.20113368332386017,14.765767097473145,0.20113368332386017,7.185837348898367
28,7.968167070668875,0.13367696106433868,5.467772483825684,0.13367696106433868,5.815642922338774
29,9.184931282368844,0.07319558411836624,5.851882457733154,0.07319558411836624,6.292495031619339
