graph,method,budget_bpv,seed,config,memory_bytes_per_vertex,preprocess_time_s,query_time_s,mean_expansions,median_expansions,mean_reduction_vs_dijkstra
ny,CDH,128,456,"P=64,r=14",126,10.346839737030677,57.41557630500756,49338.09,38273.5,0.6300480543740938
ny,CDH+sub,128,456,"P=64,r=14",126,0.0,248.05275963398162,49338.09,38273.5,0.6300480543740938
ny,CDH+sub+BPMX,128,456,"P=64,r=14",126,0.0,755.2816554650199,49200.17,37319.5,0.631082220316487
ny,ALT,128,789,K=16,128,5.1427256260067225,0.0,8366.41,4590.5,0.9372661232446566
ny,CDH,128,789,"P=64,r=14",126,11.181306776939891,53.46210289502051,49338.09,38273.5,0.6300480543740938
ny,CDH+sub,128,789,"P=64,r=14",126,0.0,285.9612842700444,49338.09,38273.5,0.6300480543740938
ny,CDH+sub+BPMX,128,789,"P=64,r=14",126,0.0,721.3397553359391,49200.17,37319.5,0.631082220316487
ny,ALT,128,1024,K=16,128,3.7244050049921498,0.0,8366.41,4590.5,0.9372661232446566
ny,CDH,128,1024,"P=64,r=14",126,7.704408893943764,43.3056715199491,49338.09,38273.5,0.6300480543740938
ny,CDH+sub,128,1024,"P=64,r=14",126,0.0,203.55741851695348,49338.09,38273.5,0.6300480543740938
ny,CDH+sub+BPMX,128,1024,"P=64,r=14",126,0.0,509.1329781059176,49200.17,37319.5,0.631082220316487
